movie_id,title,tags
1383731,Protector,"Nikki's life is shattered when her daughter is kidnapped. Thrust into the criminal underworld while hunted by cops and military, she must fight to rescue her child. Action Thriller Milla Jovovich Matthew Modine Isabel Myers Adrian Grünberg kidnapping rescue mission war hero underworld action"
1582770,Dhurandhar: The Revenge,"As rival gangs, corrupt officials and a ruthless Major Iqbal close in, Hamza's mission for his country spirals into a bloody personal war where the line between patriot and monster disappears in the streets of Lyari. Action Crime Thriller Ranveer Singh Arjun Rampal R. Madhavan Aditya Dhar undercover espionage politics spy traitor patriotism nationalism gore gang leader pakistan sequel betrayal conspiracy torture soldier india interrogation terrorist attack undercover operation gun violence bloodshed political corruption serious intense cruel excited"
458293,Michael Jackson: Searching for Neverland,"Based on the best-selling book, Remember the Time: Protecting Michael Jackson in His Final Days, and told through the eyes of Jackson's trusted bodyguards, Bill Whitfield and Javon Beard. The movie will reveal firsthand the devotion Michael Jackson had to his children, and the hidden drama that took place during the last two years of his life. Drama TV Movie Navi Chad L. Coleman Sam Adegoke Dianne Houston melancholy nervous adoring foreboding"
10867,Malena,"12-year-old Renato experiences three significant events on the same day: the beginning of the Second World War, getting a bike, and witnessing the arrival of the gorgeous Malèna. Through his eyes, we see the curse of beauty and loneliness of Malena, whose husband is presumed dead, and, through his soul, we see his love for her. Drama Monica Bellucci Giuseppe Sulfaro Luciano Federico Giuseppe Tornatore prostitute jealousy sicily, italy widow world war ii longing coming of age beautiful woman crush sex trafficking intrigue pretty woman milf sad story dramatic rich to poor broken women"
1173559,Insidious Inferno,A secluded cottage is plagued by gruesome murders and unbeknownst to the inhabitants something other worldly lurks within the halls. Can the couple solve the mystery of the cursed grounds in time or will they open the door to the inferno? Horror Stephanie Leet Neil Green Chynna Rae Shurts Calvin Morie McCarthy 
1265609,War Machine,"On one last grueling mission during Army Ranger training, a combat engineer must lead his unit in a fight against a giant otherworldly killing machine. Action Science Fiction Thriller Alan Ritchson Dennis Quaid Stephan James Patrick Hughes struggle for survival military training hostile afghanistan veteran alien hunters alien arrival military sci-fi u.s. army ranger extraterrestrial threat special forces training firefights hostile encounter high‑intensity conflict gore elements veteran soldier remote outpost"
1383731,Protector,"Nikki's life is shattered when her daughter is kidnapped. Thrust into the criminal underworld while hunted by cops and military, she must fight to rescue her child. Action Thriller Milla Jovovich Matthew Modine Isabel Myers Adrian Grünberg kidnapping rescue mission war hero underworld action"
299536,Avengers: Infinity War,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain. Adventure Action Science Fiction Robert Downey Jr. Chris Evans Chris Hemsworth Joe Russo sacrifice magic superhero based on comic space battlefield genocide magical object super power superhero team aftercreditsstinger marvel cinematic universe (mcu) cosmic"
1038392,The Conjuring: Last Rites,"Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront. Horror Patrick Wilson Vera Farmiga Mia Tomlinson Michael Chaves pennsylvania, usa supernatural exorcism haunted house sequel priest religion wedding spirit paranormal investigation ghost 1980s demonic mirror supernatural horror horror"
1110034,Kraken,"A marine biologist is doing research on a fish farm when she encounters several strange occurrences. Along with the brutal deaths of two teenagers, all signs point to the deep fjord; can there be more to the depths than the eye can see? Horror Action Thriller Sara Khorami Mikkel Bratt Silset Ingvild Holthe Bygdnes Pål Øie sea monster norwegian folklore cautionary"
502356,The Super Mario Bros. Movie,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi. Family Comedy Adventure Fantasy Animation Chris Pratt Anya Taylor-Joy Charlie Day Michael Jelenic gorilla plumber villain anthropomorphism based on video game nostalgic toad aftercreditsstinger duringcreditsstinger damsel in distress piano brother brother relationship 3d animation evil king"
1084577,Balls Up,"Two marketing executives go ""balls out"" and pitch a bold full‑coverage condom sponsorship with the World Cup. After their drunken celebration in Brazil sparks a global scandal, they must outrun furious fans, criminals, and power-hungry officials to salvage their careers and make it home alive. Comedy Action Adventure Mark Wahlberg Paul Walter Hauser Sacha Baron Cohen Peter Farrelly world cup brazil"
